Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-12,1,1,0,0,,,,0.012,0.0,0.0,
2020-03-13,2,1,0,0,,,,0.024,0.0,0.0,
2020-03-16,18,16,0,0,,,,0.213,0.0,0.0,
2020-03-17,47,29,0,0,,,,0.557,0.0,0.0,
2020-03-18,98,51,0,0,,,,1.162,0.0,0.0,10018.0
2020-03-19,191,93,1,1,,,,2.265,0.012,0.012,11999.0
2020-03-20,359,168,4,3,,,,4.257,0.047,0.036000000000000004,15655.0
2020-03-21,670,311,9,5,,,,7.944,0.107,0.059000000000000004,18607.0
2020-03-22,947,277,21,12,,,,11.228,0.249,0.142,20345.0
2020-03-23,1236,289,30,9,,,,14.655,0.35600000000000004,0.107,24017.0
2020-03-24,1529,293,37,7,,,,18.129,0.439,0.083,27969.0
2020-03-25,1872,343,44,7,,,,22.195999999999998,0.522,0.083,33004.0
2020-03-26,2433,561,59,15,,,,28.848000000000003,0.7,0.17800000000000002,40290.0
2020-03-27,3629,1196,75,16,,,,43.028999999999996,0.889,0.19,47823.0
2020-03-28,5698,2069,92,17,,,,67.561,1.091,0.20199999999999999,55464.0
2020-03-29,7402,1704,108,16,,,,87.765,1.281,0.19,65446.0
2020-03-30,9217,1815,131,23,,,,109.285,1.5530000000000002,0.273,76981.0
2020-03-31,10827,1610,168,37,,,,128.375,1.992,0.439,92403.0
2020-04-01,13531,2704,214,46,,,,160.436,2.537,0.545,106799.0
2020-04-02,15679,2148,277,63,,,,185.90400000000002,3.284,0.747,125556.0
2020-04-03,18135,2456,356,79,,,,215.025,4.221,0.937,141716.0
2020-04-04,20921,2786,425,69,,,,248.058,5.039,0.818,161380.0
2020-04-05,23934,3013,501,76,,,,283.783,5.94,0.9009999999999999,181445.0
2020-04-06,27069,3135,574,73,,,,320.954,6.806,0.866,202845.0
2020-04-07,30217,3148,649,75,,,,358.28,7.695,0.889,228868.0
2020-04-08,34109,3892,725,76,,,,404.42699999999996,8.596,0.9009999999999999,247768.0
2020-04-09,38226,4117,812,87,,,,453.24199999999996,9.628,1.032,276338.0
2020-04-10,42282,4056,908,96,,,,501.334,10.765999999999998,1.138,307210.0
2020-04-11,47029,4747,1006,98,,,,557.618,11.927999999999999,1.162,340380.0
2020-04-12,52167,5138,1101,95,,,,618.539,13.054,1.126,376100.0
2020-04-13,56956,4789,1198,97,,,,675.322,14.205,1.15,410556.0
2020-04-14,61049,4093,1296,98,,,,723.852,15.367,1.162,443626.0
2020-04-15,65111,4062,1403,107,,,,772.015,16.635,1.2690000000000001,477716.0
2020-04-16,69392,4281,1518,115,,,,822.7739999999999,17.999000000000002,1.364,518143.0
2020-04-17,74193,4801,1643,125,,,,879.699,19.480999999999998,1.482,558413.0
2020-04-18,78546,4353,1769,126,,,,931.312,20.975,1.494,598933.0
2020-04-19,82329,3783,1890,121,,,,976.1669999999999,22.41,1.435,634277.0
2020-04-20,86306,3977,2017,127,,,,1023.322,23.915,1.506,673980.0
2020-04-21,90980,4674,2140,123,,,,1078.741,25.374000000000002,1.4580000000000002,713409.0
2020-04-22,95591,4611,2259,119,,,,1133.413,26.785,1.411,750944.0
2020-04-23,98674,3083,2376,117,,,,1169.968,28.171999999999997,1.3869999999999998,791906.0
2020-04-24,101790,3116,2491,115,,,,1206.914,29.535999999999998,1.364,830257.0
2020-04-25,104912,3122,2600,109,,,,1243.931,30.828000000000003,1.2919999999999998,868565.0
2020-04-26,107773,2861,2706,106,,,,1277.854,32.085,1.2570000000000001,898742.0
2020-04-27,110130,2357,2805,99,,,,1305.8010000000002,33.259,1.1740000000000002,918885.0
2020-04-28,112261,2131,2900,95,,,,1331.068,34.385,1.126,948115.0
2020-04-29,114653,2392,2992,92,,,,1359.4289999999999,35.476,1.091,991613.0
