Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-14,Ethiopia,1,1,0,0,,,,0.009000000000000001,0.0,0.0,,
2020-03-15,Ethiopia,1,0,0,0,,,,0.009000000000000001,0.0,0.0,,
2020-03-16,Ethiopia,4,3,0,0,,,,0.035,0.0,0.0,,
2020-03-17,Ethiopia,5,1,0,0,,,,0.043,0.0,0.0,79.0,
2020-03-18,Ethiopia,5,0,0,0,,,,0.043,0.0,0.0,,
2020-03-19,Ethiopia,6,1,0,0,,,,0.052000000000000005,0.0,0.0,,
2020-03-20,Ethiopia,7,1,0,0,,,,0.061,0.0,0.0,,
2020-03-21,Ethiopia,9,2,0,0,,,,0.078,0.0,0.0,,
2020-03-22,Ethiopia,9,0,0,0,,,,0.078,0.0,0.0,392.0,
2020-03-23,Ethiopia,11,2,0,0,,,,0.096,0.0,0.0,,
2020-03-24,Ethiopia,11,0,0,0,,,,0.096,0.0,0.0,,
2020-03-25,Ethiopia,11,0,0,0,,,,0.096,0.0,0.0,576.0,
2020-03-26,Ethiopia,12,1,0,0,,,,0.10400000000000001,0.0,0.0,,
2020-03-27,Ethiopia,12,0,0,0,,,,0.10400000000000001,0.0,0.0,718.0,
2020-03-28,Ethiopia,16,4,0,0,,,,0.139,0.0,0.0,,
2020-03-29,Ethiopia,16,0,0,0,,,,0.139,0.0,0.0,,
2020-03-30,Ethiopia,16,0,0,0,,,,0.139,0.0,0.0,,
2020-03-31,Ethiopia,23,7,0,0,,,,0.2,0.0,0.0,1013.0,
2020-04-01,Ethiopia,25,2,0,0,,,,0.217,0.0,0.0,1083.0,
2020-04-02,Ethiopia,29,4,0,0,,,,0.252,0.0,0.0,,
2020-04-03,Ethiopia,29,0,0,0,,,,0.252,0.0,0.0,1222.0,
2020-04-04,Ethiopia,35,6,0,0,,,,0.304,0.0,0.0,,
2020-04-05,Ethiopia,38,3,0,0,,,,0.331,0.0,0.0,1843.0,
2020-04-06,Ethiopia,43,5,2,2,,,,0.374,0.017,0.017,2007.0,
2020-04-07,Ethiopia,44,1,2,0,,,,0.38299999999999995,0.017,0.0,2271.0,
2020-04-08,Ethiopia,52,8,2,0,,,,0.452,0.017,0.0,2496.0,
2020-04-09,Ethiopia,55,3,2,0,,,,0.478,0.017,0.0,2790.0,
2020-04-10,Ethiopia,56,1,2,0,,,,0.48700000000000004,0.017,0.0,,
2020-04-11,Ethiopia,65,9,2,0,,,,0.565,0.017,0.0,,
2020-04-12,Ethiopia,69,4,3,1,,,,0.6,0.026000000000000002,0.009000000000000001,3863.0,
2020-04-13,Ethiopia,71,2,3,0,,,,0.618,0.026000000000000002,0.0,4110.0,
2020-04-14,Ethiopia,74,3,3,0,,,,0.644,0.026000000000000002,0.0,4557.0,
2020-04-15,Ethiopia,82,8,3,0,,,,0.713,0.026000000000000002,0.0,4988.0,
2020-04-16,Ethiopia,85,3,3,0,,,,0.7390000000000001,0.026000000000000002,0.0,5389.0,
2020-04-17,Ethiopia,92,7,3,0,,,,0.8,0.026000000000000002,0.0,,
2020-04-18,Ethiopia,96,4,3,0,,,,0.835,0.026000000000000002,0.0,,
2020-04-19,Ethiopia,105,9,3,0,,,,0.9129999999999999,0.026000000000000002,0.0,,
2020-04-20,Ethiopia,108,3,3,0,,,,0.9390000000000001,0.026000000000000002,0.0,,
2020-04-21,Ethiopia,111,3,3,0,,,,0.966,0.026000000000000002,0.0,,
