Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-02-11,South Africa,0,0,0,0,,,,,,,61.0,
2020-02-13,South Africa,0,0,0,0,,,,,,,67.0,
2020-02-14,South Africa,0,0,0,0,,,,,,,71.0,
2020-02-19,South Africa,0,0,0,0,,,,,,,95.0,
2020-02-20,South Africa,0,0,0,0,,,,,,,106.0,
2020-02-24,South Africa,0,0,0,0,,,,,,,116.0,
2020-02-26,South Africa,0,0,0,0,,,,,,,121.0,
2020-03-02,South Africa,0,0,0,0,,,,,,,160.0,
2020-03-03,South Africa,0,0,0,0,,,,,,,164.0,
2020-03-06,South Africa,1,1,0,0,,,,0.017,0.0,0.0,200.0,
2020-03-07,South Africa,0,0,0,0,,,,,,,241.0,
2020-03-08,South Africa,2,1,0,0,,,,0.034,0.0,0.0,,
2020-03-09,South Africa,3,1,0,0,,,,0.051,0.0,0.0,,
2020-03-10,South Africa,7,4,0,0,,,,0.11800000000000001,0.0,0.0,,
2020-03-11,South Africa,0,0,0,0,,,,,,,645.0,
2020-03-12,South Africa,13,6,0,0,,,,0.21899999999999997,0.0,0.0,848.0,
2020-03-13,South Africa,17,4,0,0,,,,0.287,0.0,0.0,924.0,
2020-03-14,South Africa,24,7,0,0,,,,0.405,0.0,0.0,1017.0,
2020-03-15,South Africa,24,0,0,0,,,,0.405,0.0,0.0,1476.0,
2020-03-16,South Africa,51,27,0,0,,,,0.86,0.0,0.0,2405.0,
2020-03-17,South Africa,62,11,0,0,,,,1.045,0.0,0.0,2911.0,
2020-03-18,South Africa,85,23,0,0,,,,1.433,0.0,0.0,3070.0,
2020-03-19,South Africa,116,31,0,0,,,,1.956,0.0,0.0,4832.0,
2020-03-20,South Africa,150,34,0,0,,,,2.529,0.0,0.0,6438.0,
2020-03-21,South Africa,205,55,0,0,,,,3.4560000000000004,0.0,0.0,7425.0,
2020-03-22,South Africa,240,35,0,0,,,,4.047,0.0,0.0,9315.0,
2020-03-23,South Africa,274,34,0,0,,,,4.62,0.0,0.0,12815.0,
2020-03-24,South Africa,402,128,0,0,,,,6.778,0.0,0.0,15529.0,
2020-03-25,South Africa,557,155,0,0,,,,9.392000000000001,0.0,0.0,,
2020-03-26,South Africa,709,152,0,0,,,,11.954,0.0,0.0,20471.0,
2020-03-27,South Africa,927,218,2,2,,,,15.63,0.034,0.034,28537.0,
2020-03-28,South Africa,1170,243,2,0,,,,19.727,0.034,0.0,31963.0,
2020-03-29,South Africa,1187,17,2,0,,,,20.014,0.034,0.0,35593.0,
2020-03-30,South Africa,1280,93,2,0,,,,21.581999999999997,0.034,0.0,38409.0,
2020-03-31,South Africa,1326,46,3,1,,,,22.358,0.051,0.017,41072.0,
2020-04-01,South Africa,1353,27,5,2,,,,22.813000000000002,0.084,0.034,44292.0,
2020-04-02,South Africa,1380,27,5,0,,,,23.268,0.084,0.0,47965.0,
2020-04-03,South Africa,1462,82,5,0,,,,24.651,0.084,0.0,50361.0,
2020-04-04,South Africa,1505,43,7,2,,,,25.375999999999998,0.11800000000000001,0.034,53937.0,
2020-04-05,South Africa,1585,80,9,2,,,,26.725,0.152,0.034,56873.0,
2020-04-06,South Africa,1655,70,11,2,,,,27.905,0.185,0.034,58098.0,
2020-04-07,South Africa,1686,31,12,1,,,,28.428,0.20199999999999999,0.017,,
2020-04-08,South Africa,1749,63,13,1,,,,29.49,0.21899999999999997,0.017,63776.0,
2020-04-09,South Africa,1845,96,18,5,,,,31.108,0.303,0.084,68874.0,
2020-04-10,South Africa,1934,89,18,0,,,,32.609,0.303,0.0,73028.0,
2020-04-11,South Africa,2003,69,24,6,,,,33.772,0.405,0.10099999999999999,75053.0,
2020-04-12,South Africa,2028,25,25,1,,,,34.194,0.42200000000000004,0.017,80085.0,
2020-04-13,South Africa,2173,145,25,0,,,,36.639,0.42200000000000004,0.0,83663.0,
2020-04-14,South Africa,2272,99,27,2,,,,38.308,0.455,0.034,87022.0,
2020-04-15,South Africa,2415,143,27,0,,,,40.719,0.455,0.0,90515.0,
2020-04-16,South Africa,2506,91,34,7,,,,42.254,0.573,0.11800000000000001,95060.0,
2020-04-17,South Africa,2605,99,48,14,,,,43.923,0.809,0.23600000000000002,100827.0,
2020-04-18,South Africa,2783,178,50,2,,,,46.924,0.843,0.034,108201.0,
2020-04-19,South Africa,3034,251,52,2,,,,51.156000000000006,0.877,0.034,114711.0,
2020-04-20,South Africa,3158,124,54,2,,,,53.247,0.91,0.034,121510.0,
2020-04-21,South Africa,3300,142,58,4,,,,55.641000000000005,0.978,0.067,126937.0,
