Date,Countries,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people,Continent
2020-03-07,Slovakia,1,1,0,0,,,,0.183,0.0,0.0,,
2020-03-08,Slovakia,3,2,0,0,,,,0.5489999999999999,0.0,0.0,,
2020-03-09,Slovakia,5,2,0,0,,,,0.9159999999999999,0.0,0.0,,
2020-03-11,Slovakia,7,2,0,0,,,,1.2819999999999998,0.0,0.0,,
2020-03-12,Slovakia,10,3,0,0,,,,1.8319999999999999,0.0,0.0,,
2020-03-13,Slovakia,21,11,0,0,,,,3.846,0.0,0.0,,
2020-03-14,Slovakia,30,9,0,0,,,,5.495,0.0,0.0,,
2020-03-15,Slovakia,44,14,0,0,,,,8.059,0.0,0.0,1545.0,
2020-03-16,Slovakia,61,17,0,0,,,,11.173,0.0,0.0,1913.0,
2020-03-17,Slovakia,84,23,0,0,,,,15.386,0.0,0.0,,
2020-03-18,Slovakia,97,13,0,0,,,,17.767,0.0,0.0,1991.0,
2020-03-19,Slovakia,107,10,0,0,,,,19.598,0.0,0.0,2439.0,
2020-03-20,Slovakia,123,16,0,0,,,,22.529,0.0,0.0,2707.0,
2020-03-21,Slovakia,137,14,0,0,,,,25.093000000000004,0.0,0.0,3247.0,
2020-03-22,Slovakia,178,41,0,0,,,,32.603,0.0,0.0,3489.0,
2020-03-23,Slovakia,185,7,0,0,,,,33.885,0.0,0.0,3518.0,
2020-03-24,Slovakia,191,6,0,0,,,,34.984,0.0,0.0,,
2020-03-25,Slovakia,204,13,0,0,,,,37.365,0.0,0.0,,
2020-03-26,Slovakia,216,12,0,0,,,,39.563,0.0,0.0,5664.0,
2020-03-27,Slovakia,226,10,0,0,,,,41.395,0.0,0.0,,
2020-03-28,Slovakia,295,69,0,0,,,,54.033,0.0,0.0,7131.0,
2020-03-29,Slovakia,295,0,0,0,,,,54.033,0.0,0.0,,
2020-03-30,Slovakia,336,41,0,0,,,,61.542,0.0,0.0,,
2020-03-31,Slovakia,336,0,0,0,,,,61.542,0.0,0.0,,
2020-04-01,Slovakia,363,27,0,0,,,,66.488,0.0,0.0,,
2020-04-02,Slovakia,400,37,0,0,,,,73.265,0.0,0.0,11742.0,
2020-04-03,Slovakia,426,26,0,0,,,,78.027,0.0,0.0,13631.0,
2020-04-04,Slovakia,450,24,0,0,,,,82.42299999999999,0.0,0.0,15155.0,
2020-04-05,Slovakia,471,21,0,0,,,,86.26899999999999,0.0,0.0,,
2020-04-06,Slovakia,485,14,0,0,,,,88.834,0.0,0.0,,
2020-04-07,Slovakia,534,49,2,2,,,,97.809,0.366,0.366,,
2020-04-08,Slovakia,581,47,2,0,,,,106.417,0.366,0.0,21371.0,
2020-04-09,Slovakia,682,101,2,0,,,,124.917,0.366,0.0,23672.0,
2020-04-10,Slovakia,701,19,2,0,,,,128.39700000000002,0.366,0.0,25846.0,
2020-04-11,Slovakia,715,14,2,0,,,,130.961,0.366,0.0,27426.0,
2020-04-12,Slovakia,728,13,2,0,,,,133.342,0.366,0.0,28750.0,
2020-04-13,Slovakia,742,14,2,0,,,,135.906,0.366,0.0,30052.0,
2020-04-14,Slovakia,769,27,2,0,,,,140.852,0.366,0.0,31491.0,
2020-04-15,Slovakia,835,66,2,0,,,,152.94,0.366,0.0,34458.0,
2020-04-16,Slovakia,863,28,6,4,,,,158.069,1.099,0.733,37809.0,
2020-04-17,Slovakia,977,114,8,2,,,,178.949,1.465,0.366,40953.0,
2020-04-18,Slovakia,1049,72,9,1,,,,192.137,1.6480000000000001,0.183,44276.0,
2020-04-19,Slovakia,1089,40,11,2,,,,199.46400000000003,2.015,0.366,46734.0,
2020-04-20,Slovakia,1161,72,12,1,,,,212.65099999999998,2.198,0.183,49428.0,
2020-04-21,Slovakia,1173,12,13,1,,,,214.84900000000002,2.381,0.183,,
