Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,"Serious,Critical",Total Cases/1M people,Total Death/1M people,Total Tests,Tests/1M people
2020-03-08,3,3,0,0,,,,6.794,0.0,0.0,
2020-03-10,4,1,0,0,,,,9.059,0.0,0.0,
2020-03-12,6,2,0,0,,,,13.589,0.0,0.0,
2020-03-13,9,3,0,0,,,,20.383,0.0,0.0,
2020-03-14,12,3,0,0,,,,27.178,0.0,0.0,
2020-03-15,18,6,0,0,,,,40.766999999999996,0.0,0.0,
2020-03-16,21,3,0,0,,,,47.56100000000001,0.0,0.0,
2020-03-17,30,9,0,0,,,,67.944,0.0,0.0,
2020-03-18,38,8,0,0,,,,86.06299999999999,0.0,0.0,
2020-03-19,48,10,0,0,,,,108.711,0.0,0.0,
2020-03-20,53,5,0,0,,,,120.035,0.0,0.0,
2020-03-21,64,11,0,0,,,,144.94799999999998,0.0,0.0,
2020-03-22,73,9,0,0,,,,165.331,0.0,0.0,
2020-03-23,90,17,0,0,,,,203.833,0.0,0.0,
2020-03-24,107,17,0,0,,,,242.334,0.0,0.0,
2020-03-25,120,13,0,0,,,,271.777,0.0,0.0,
2020-03-26,129,9,0,0,,,,292.16,0.0,0.0,
2020-03-27,134,5,0,0,,,,303.48400000000004,0.0,0.0,
2020-03-28,139,5,0,0,,,,314.808,0.0,0.0,
2020-03-29,149,10,0,0,,,,337.45599999999996,0.0,0.0,
2020-03-30,151,2,0,0,,,,341.986,0.0,0.0,
2020-03-31,156,5,0,0,,,,353.31,0.0,0.0,
2020-04-01,167,11,0,0,,,,378.223,0.0,0.0,
2020-04-02,188,21,0,0,,,,425.783,0.0,0.0,
2020-04-03,195,7,0,0,,,,441.63699999999994,0.0,0.0,
2020-04-04,202,7,0,0,,,,457.491,0.0,0.0,
2020-04-05,213,11,0,0,,,,482.404,0.0,0.0,
2020-04-06,234,21,0,0,,,,529.965,0.0,0.0,
2020-04-07,241,7,0,0,,,,545.818,0.0,0.0,
2020-04-08,293,52,0,0,,,,663.5880000000001,0.0,0.0,
2020-04-09,299,6,1,1,,,,677.177,2.265,2.265,
2020-04-10,337,38,2,1,,,,763.2389999999999,4.53,2.265,
2020-04-11,350,13,2,0,,,,792.682,4.53,0.0,
2020-04-12,370,20,3,1,,,,837.9780000000001,6.794,2.265,
2020-04-13,378,8,3,0,,,,856.097,6.794,0.0,
2020-04-14,384,6,3,0,,,,869.685,6.794,0.0,
2020-04-15,393,9,3,0,,,,890.069,6.794,0.0,
2020-04-16,399,6,3,0,,,,903.6569999999999,6.794,0.0,
2020-04-17,412,13,3,0,,,,933.1,6.794,0.0,
2020-04-18,422,10,3,0,,,,955.748,6.794,0.0,
2020-04-19,426,4,3,0,,,,964.807,6.794,0.0,
2020-04-20,427,1,3,0,,,,967.072,6.794,0.0,
2020-04-21,431,4,3,0,,,,976.1310000000001,6.794,0.0,
2020-04-22,443,12,3,0,,,,1003.309,6.794,0.0,
2020-04-23,444,1,3,0,,,,1005.574,6.794,0.0,
2020-04-24,445,1,3,0,,,,1007.8380000000001,6.794,0.0,
2020-04-25,447,2,3,0,,,,1012.368,6.794,0.0,
2020-04-26,448,1,4,1,,,,1014.633,9.059,2.265,
2020-04-27,448,0,4,0,,,,1014.633,9.059,0.0,
2020-04-28,450,2,4,0,,,,1019.163,9.059,0.0,
2020-04-29,450,0,4,0,,,,1019.163,9.059,0.0,
